interval_start_time,X,Y,dateTimeDayofTheWeek,year,month,day,hour,minute,people
2019-04-22 9:50:00,10.73397929,59.91301053,2,2019,4,22,9,50,198
2019-04-22 9:55:00,10.73397929,59.91301053,2,2019,4,22,9,55,219
2019-04-22 10:00:00,10.73397929,59.91301053,2,2019,4,22,10,0,204
2019-04-22 10:05:00,10.73397929,59.91301053,2,2019,4,22,10,5,203
2019-04-22 10:10:00,10.73397929,59.91301053,2,2019,4,22,10,10,220
2019-04-22 10:15:00,10.73397929,59.91301053,2,2019,4,22,10,15,241
2019-04-22 10:20:00,10.73397929,59.91301053,2,2019,4,22,10,20,264
2019-04-22 10:25:00,10.73397929,59.91301053,2,2019,4,22,10,25,294
2019-04-22 10:30:00,10.73397929,59.91301053,2,2019,4,22,10,30,314
2019-04-22 10:35:00,10.73397929,59.91301053,2,2019,4,22,10,35,347
2019-04-22 10:40:00,10.73397929,59.91301053,2,2019,4,22,10,40,363
2019-04-22 10:45:00,10.73397929,59.91301053,2,2019,4,22,10,45,385
2019-04-22 10:50:00,10.73397929,59.91301053,2,2019,4,22,10,50,405
2019-04-22 10:55:00,10.73397929,59.91301053,2,2019,4,22,10,55,436
2019-04-22 11:00:00,10.73397929,59.91301053,2,2019,4,22,11,0,455
2019-04-22 11:05:00,10.73397929,59.91301053,2,2019,4,22,11,5,469
2019-04-22 11:10:00,10.73397929,59.91301053,2,2019,4,22,11,10,469
2019-04-22 11:15:00,10.73397929,59.91301053,2,2019,4,22,11,15,498
2019-04-22 11:20:00,10.73397929,59.91301053,2,2019,4,22,11,20,515
2019-04-22 11:25:00,10.73397929,59.91301053,2,2019,4,22,11,25,535
2019-04-22 11:30:00,10.73397929,59.91301053,2,2019,4,22,11,30,553
2019-04-22 11:35:00,10.73397929,59.91301053,2,2019,4,22,11,35,579
2019-04-22 11:40:00,10.73397929,59.91301053,2,2019,4,22,11,40,596
2019-04-22 11:45:00,10.73397929,59.91301053,2,2019,4,22,11,45,634
2019-04-22 11:50:00,10.73397929,59.91301053,2,2019,4,22,11,50,661
2019-04-22 11:55:00,10.73397929,59.91301053,2,2019,4,22,11,55,701
2019-04-22 12:00:00,10.73397929,59.91301053,2,2019,4,22,12,0,728
2019-04-22 12:05:00,10.73397929,59.91301053,2,2019,4,22,12,5,757
2019-04-22 12:10:00,10.73397929,59.91301053,2,2019,4,22,12,10,763
2019-04-22 12:15:00,10.73397929,59.91301053,2,2019,4,22,12,15,769
2019-04-22 12:20:00,10.73397929,59.91301053,2,2019,4,22,12,20,790
2019-04-22 12:25:00,10.73397929,59.91301053,2,2019,4,22,12,25,846
2019-04-22 12:30:00,10.73397929,59.91301053,2,2019,4,22,12,30,892
2019-04-22 12:35:00,10.73397929,59.91301053,2,2019,4,22,12,35,912
2019-04-22 12:40:00,10.73397929,59.91301053,2,2019,4,22,12,40,961
2019-04-22 12:45:00,10.73397929,59.91301053,2,2019,4,22,12,45,989
2019-04-22 12:50:00,10.73397929,59.91301053,2,2019,4,22,12,50,1024
2019-04-22 12:55:00,10.73397929,59.91301053,2,2019,4,22,12,55,1069
2019-04-22 13:00:00,10.73397929,59.91301053,2,2019,4,22,13,0,1108
2019-04-22 13:05:00,10.73397929,59.91301053,2,2019,4,22,13,5,1160
2019-04-22 13:10:00,10.73397929,59.91301053,2,2019,4,22,13,10,1187
2019-04-22 13:15:00,10.73397929,59.91301053,2,2019,4,22,13,15,1254
2019-04-22 13:20:00,10.73397929,59.91301053,2,2019,4,22,13,20,1320
2019-04-22 13:25:00,10.73397929,59.91301053,2,2019,4,22,13,25,1353
2019-04-22 13:30:00,10.73397929,59.91301053,2,2019,4,22,13,30,1389
2019-04-22 13:35:00,10.73397929,59.91301053,2,2019,4,22,13,35,1424
2019-04-22 13:40:00,10.73397929,59.91301053,2,2019,4,22,13,40,1427
2019-04-22 13:45:00,10.73397929,59.91301053,2,2019,4,22,13,45,1441
2019-04-22 13:50:00,10.73397929,59.91301053,2,2019,4,22,13,50,1459
2019-04-22 13:55:00,10.73397929,59.91301053,2,2019,4,22,13,55,1526
2019-04-22 14:00:00,10.73397929,59.91301053,2,2019,4,22,14,0,1516
2019-04-22 14:05:00,10.73397929,59.91301053,2,2019,4,22,14,5,1536
2019-04-22 14:10:00,10.73397929,59.91301053,2,2019,4,22,14,10,1552
2019-04-22 14:15:00,10.73397929,59.91301053,2,2019,4,22,14,15,1581
2019-04-22 14:20:00,10.73397929,59.91301053,2,2019,4,22,14,20,1614
2019-04-22 14:25:00,10.73397929,59.91301053,2,2019,4,22,14,25,1663
2019-04-22 14:30:00,10.73397929,59.91301053,2,2019,4,22,14,30,1745
2019-04-22 14:35:00,10.73397929,59.91301053,2,2019,4,22,14,35,1788
2019-04-22 14:40:00,10.73397929,59.91301053,2,2019,4,22,14,40,1824
2019-04-22 14:45:00,10.73397929,59.91301053,2,2019,4,22,14,45,1877
2019-04-22 14:50:00,10.73397929,59.91301053,2,2019,4,22,14,50,1902
2019-04-22 14:55:00,10.73397929,59.91301053,2,2019,4,22,14,55,1906
2019-04-22 15:00:00,10.73397929,59.91301053,2,2019,4,22,15,0,1916
2019-04-22 15:05:00,10.73397929,59.91301053,2,2019,4,22,15,5,1910
2019-04-22 15:10:00,10.73397929,59.91301053,2,2019,4,22,15,10,1866
2019-04-22 15:15:00,10.73397929,59.91301053,2,2019,4,22,15,15,1890
2019-04-22 15:20:00,10.73397929,59.91301053,2,2019,4,22,15,20,1903
2019-04-22 15:25:00,10.73397929,59.91301053,2,2019,4,22,15,25,1936
2019-04-22 15:30:00,10.73397929,59.91301053,2,2019,4,22,15,30,1978
2019-04-22 15:35:00,10.73397929,59.91301053,2,2019,4,22,15,35,1976
2019-04-22 15:40:00,10.73397929,59.91301053,2,2019,4,22,15,40,1970
2019-04-22 15:45:00,10.73397929,59.91301053,2,2019,4,22,15,45,1945
2019-04-22 15:50:00,10.73397929,59.91301053,2,2019,4,22,15,50,1980
2019-04-22 15:55:00,10.73397929,59.91301053,2,2019,4,22,15,55,1917
2019-04-22 16:00:00,10.73397929,59.91301053,2,2019,4,22,16,0,1915
2019-04-22 16:05:00,10.73397929,59.91301053,2,2019,4,22,16,5,1920
2019-04-22 16:10:00,10.73397929,59.91301053,2,2019,4,22,16,10,1903
2019-04-22 16:15:00,10.73397929,59.91301053,2,2019,4,22,16,15,1932
2019-04-22 16:20:00,10.73397929,59.91301053,2,2019,4,22,16,20,1893
2019-04-22 16:25:00,10.73397929,59.91301053,2,2019,4,22,16,25,1875
2019-04-22 16:30:00,10.73397929,59.91301053,2,2019,4,22,16,30,1816
2019-04-22 16:35:00,10.73397929,59.91301053,2,2019,4,22,16,35,1746
2019-04-22 16:40:00,10.73397929,59.91301053,2,2019,4,22,16,40,1706
2019-04-22 16:45:00,10.73397929,59.91301053,2,2019,4,22,16,45,1667
2019-04-22 16:50:00,10.73397929,59.91301053,2,2019,4,22,16,50,1699
2019-04-22 16:55:00,10.73397929,59.91301053,2,2019,4,22,16,55,1684
2019-04-22 17:00:00,10.73397929,59.91301053,2,2019,4,22,17,0,1675
2019-04-22 17:05:00,10.73397929,59.91301053,2,2019,4,22,17,5,1692
2019-04-22 17:10:00,10.73397929,59.91301053,2,2019,4,22,17,10,1640
2019-04-22 17:15:00,10.73397929,59.91301053,2,2019,4,22,17,15,1609
2019-04-22 17:20:00,10.73397929,59.91301053,2,2019,4,22,17,20,1588
2019-04-22 17:25:00,10.73397929,59.91301053,2,2019,4,22,17,25,1578
2019-04-22 17:30:00,10.73397929,59.91301053,2,2019,4,22,17,30,1585
2019-04-22 17:35:00,10.73397929,59.91301053,2,2019,4,22,17,35,1598
2019-04-22 17:40:00,10.73397929,59.91301053,2,2019,4,22,17,40,1550
2019-04-22 17:45:00,10.73397929,59.91301053,2,2019,4,22,17,45,1512
2019-04-22 17:50:00,10.73397929,59.91301053,2,2019,4,22,17,50,1503
2019-04-22 17:55:00,10.73397929,59.91301053,2,2019,4,22,17,55,1497
2019-04-22 18:00:00,10.73397929,59.91301053,2,2019,4,22,18,0,1519
2019-04-22 18:05:00,10.73397929,59.91301053,2,2019,4,22,18,5,1474
2019-04-22 18:10:00,10.73397929,59.91301053,2,2019,4,22,18,10,1454
2019-04-22 18:15:00,10.73397929,59.91301053,2,2019,4,22,18,15,1454
2019-04-22 18:20:00,10.73397929,59.91301053,2,2019,4,22,18,20,1411
2019-04-22 18:25:00,10.73397929,59.91301053,2,2019,4,22,18,25,1408
2019-04-22 18:30:00,10.73397929,59.91301053,2,2019,4,22,18,30,1430
2019-04-22 18:35:00,10.73397929,59.91301053,2,2019,4,22,18,35,1381
2019-04-22 18:40:00,10.73397929,59.91301053,2,2019,4,22,18,40,1378
2019-04-22 18:45:00,10.73397929,59.91301053,2,2019,4,22,18,45,1344
2019-04-22 18:50:00,10.73397929,59.91301053,2,2019,4,22,18,50,1319
2019-04-22 18:55:00,10.73397929,59.91301053,2,2019,4,22,18,55,1333
2019-04-22 19:00:00,10.73397929,59.91301053,2,2019,4,22,19,0,1352
2019-04-22 19:05:00,10.73397929,59.91301053,2,2019,4,22,19,5,1320
2019-04-22 19:10:00,10.73397929,59.91301053,2,2019,4,22,19,10,1303
2019-04-22 19:15:00,10.73397929,59.91301053,2,2019,4,22,19,15,1323
2019-04-22 19:20:00,10.73397929,59.91301053,2,2019,4,22,19,20,1310
2019-04-22 19:25:00,10.73397929,59.91301053,2,2019,4,22,19,25,1306
2019-04-22 19:30:00,10.73397929,59.91301053,2,2019,4,22,19,30,1287
2019-04-22 19:35:00,10.73397929,59.91301053,2,2019,4,22,19,35,1279
2019-04-22 19:40:00,10.73397929,59.91301053,2,2019,4,22,19,40,1301
2019-04-22 19:45:00,10.73397929,59.91301053,2,2019,4,22,19,45,1260
2019-04-22 19:50:00,10.73397929,59.91301053,2,2019,4,22,19,50,1250
2019-04-22 19:55:00,10.73397929,59.91301053,2,2019,4,22,19,55,1215
2019-04-22 20:00:00,10.73397929,59.91301053,2,2019,4,22,20,0,1211
2019-04-22 20:05:00,10.73397929,59.91301053,2,2019,4,22,20,5,1152
2019-04-22 20:10:00,10.73397929,59.91301053,2,2019,4,22,20,10,1148
2019-04-22 20:15:00,10.73397929,59.91301053,2,2019,4,22,20,15,1110
2019-04-22 20:20:00,10.73397929,59.91301053,2,2019,4,22,20,20,1048
2019-04-22 20:25:00,10.73397929,59.91301053,2,2019,4,22,20,25,1030
2019-04-22 20:30:00,10.73397929,59.91301053,2,2019,4,22,20,30,995
2019-04-22 20:35:00,10.73397929,59.91301053,2,2019,4,22,20,35,955
2019-04-22 20:40:00,10.73397929,59.91301053,2,2019,4,22,20,40,910
2019-04-22 20:45:00,10.73397929,59.91301053,2,2019,4,22,20,45,883
2019-04-22 20:50:00,10.73397929,59.91301053,2,2019,4,22,20,50,867
2019-04-22 20:55:00,10.73397929,59.91301053,2,2019,4,22,20,55,836
2019-04-22 21:00:00,10.73397929,59.91301053,2,2019,4,22,21,0,807
2019-04-22 21:05:00,10.73397929,59.91301053,2,2019,4,22,21,5,791
2019-04-22 21:10:00,10.73397929,59.91301053,2,2019,4,22,21,10,758
2019-04-22 21:15:00,10.73397929,59.91301053,2,2019,4,22,21,15,724
2019-04-22 21:20:00,10.73397929,59.91301053,2,2019,4,22,21,20,703
2019-04-22 21:25:00,10.73397929,59.91301053,2,2019,4,22,21,25,711
2019-04-22 21:30:00,10.73397929,59.91301053,2,2019,4,22,21,30,712
2019-04-22 21:35:00,10.73397929,59.91301053,2,2019,4,22,21,35,696
2019-04-22 21:40:00,10.73397929,59.91301053,2,2019,4,22,21,40,650
2019-04-22 21:45:00,10.73397929,59.91301053,2,2019,4,22,21,45,634
2019-04-22 21:50:00,10.73397929,59.91301053,2,2019,4,22,21,50,609
2019-04-22 21:55:00,10.73397929,59.91301053,2,2019,4,22,21,55,590
